address,date,price,sqm,psm,dist,tier
"Flat 8, 86, Chandler Way, SE15 6GT",2026-01-30,445000,97,4588,0.17,A
"Flat 8, 105, Peckham Road, SE15 5LE",2026-03-17,500000,92,5435,0.27,A
"Flat 6, 73, Blakes Road, SE15 6HB",2024-06-21,505000,95,5316,0.2,A
"95, Apartment 7, Peckham Road, SE15 5FA",2026-04-17,590000,104,5673,0.25,A
"Flat 9, Hamley Lodge, 29, Peckham High Street, SE15 5EB",2024-10-11,612500,118,5191,0.35,A
"102, Leontine Close, SE15 1UJ",2024-11-26,706700,114,6199,0.4,A
"Flat A, 65, Denman Road, SE15 5NS",2025-09-05,750000,100,7500,0.41,B
"Flat 3, 56, Denman Road, SE15 5NR",2026-03-18,765000,93,8226,0.44,B
